YEAR,TEAM,WEEK,TYPE,FILENAME,DATA_HASH,IMAGE_VERSION
2026,ARI,1,Defense,Week_01_ARI_Defense.png,976cfaf26cf0501603d3fc6bc6fa5f4e560de02a092af7e31344aa2eb9d2a484,1
2026,ATL,1,Defense,Week_01_ATL_Defense.png,8b4c8f560d1f4f83862ee445b6c0012519a0e41231bcc80a42eb34374f5eff84,1
2026,BAL,1,Defense,Week_01_BAL_Defense.png,8dbd0a2a74bdecb2b4b4e865cadb65e72f731174ff3bc29c77ef28b09f7f04ba,1
2026,BUF,1,Defense,Week_01_BUF_Defense.png,db2d61707e0df4a8b69c2f29a2f7e9ccfafbcc0acb55f24dba24ad31e22712e5,1
2026,CAR,1,Defense,Week_01_CAR_Defense.png,ffd0db3c16e3d3c7ea52c0964bc303714ec3a038ddca4b1f30c95f3e9d896255,1
2026,CHI,1,Defense,Week_01_CHI_Defense.png,ffd0db3c16e3d3c7ea52c0964bc303714ec3a038ddca4b1f30c95f3e9d896255,1
2026,CIN,1,Defense,Week_01_CIN_Defense.png,6b20c2ce0f72d84e10c5ec0298cf71daec9ef9add2e16f211bdeb6ed1be85528,1
2026,CLE,1,Defense,Week_01_CLE_Defense.png,10706fc1bf241eda6a7332b201f34566ede5dee725cdbdd64a41d0c7c9bef7ee,1
2026,DAL,1,Defense,Week_01_DAL_Defense.png,c165bd0c9aef858fc9fe6113e4e7707c21acf9bd2639b2182815a225a2c05d4a,1
2026,DEN,1,Defense,Week_01_DEN_Defense.png,64f450d4b7f32550af63838ccc4c4b4ef1b9ccf61d9e528be788afaf8b084f49,1
2026,DET,1,Defense,Week_01_DET_Defense.png,0723b22fc168f2e89a3e38e320e34f64a5d4b34204fe8aaa2e7b05f5fce29339,1
2026,GB,1,Defense,Week_01_GB_Defense.png,2f1e65334e49202d862199a28c671f5b2f9b727fc3dc9c904534c74b3096dfc8,1
2026,HOU,1,Defense,Week_01_HOU_Defense.png,db2d61707e0df4a8b69c2f29a2f7e9ccfafbcc0acb55f24dba24ad31e22712e5,1
2026,IND,1,Defense,Week_01_IND_Defense.png,8dbd0a2a74bdecb2b4b4e865cadb65e72f731174ff3bc29c77ef28b09f7f04ba,1
2026,JAX,1,Defense,Week_01_JAX_Defense.png,10706fc1bf241eda6a7332b201f34566ede5dee725cdbdd64a41d0c7c9bef7ee,1
2026,KC,1,Defense,Week_01_KC_Defense.png,64f450d4b7f32550af63838ccc4c4b4ef1b9ccf61d9e528be788afaf8b084f49,1
2026,LA,1,Defense,Week_01_LA_Defense.png,ff22eff5bf52b4c928d205902bd6ef7a468de73c5d7f4b4a6cb6246931c0ebb2,1
2026,LAC,1,Defense,Week_01_LAC_Defense.png,976cfaf26cf0501603d3fc6bc6fa5f4e560de02a092af7e31344aa2eb9d2a484,1
2026,LV,1,Defense,Week_01_LV_Defense.png,d8175b7e7a7821981660bff17ae28a555b6530719d6955bff1cce6e4b17b8558,1
2026,MIA,1,Defense,Week_01_MIA_Defense.png,d8175b7e7a7821981660bff17ae28a555b6530719d6955bff1cce6e4b17b8558,1
2026,MIN,1,Defense,Week_01_MIN_Defense.png,2f1e65334e49202d862199a28c671f5b2f9b727fc3dc9c904534c74b3096dfc8,1
